"ensembl_id","hgnc_symbol","GSM5144785","GSM5144786","GSM5144787","GSM5144788","GSM5144789","GSM5144790","GSM5144791","GSM5144792","GSM5144793","GSM5144794","GSM5144795","GSM5144796","GSM5144797","GSM5144798","GSM5144799","GSM5144800"
"ENST00000450093.2",NA,130.407985654173,76.6886627217878,70.2289798887959,69.8968911257015,71.2824439854972,66.7874353710774,44.7221648326394,48.4446640567702,29.2855404795853,31.8891422024784,79.6203493248562,60.5075443562873,43.3361303913106,75.8308510985547,45.9434157416508,48.9893766303741
"ENST00000450130.5",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77874999313183,0
"ENST00000450136.1",NA,0,32.1242393455515,101.786839323106,0.00019237270099635,6.51027354298547e-06,273.128676073749,105.197243271962,214.507489715132,98.4723277089618,139.757500553272,131.330450666089,0.00775927206046556,137.064479861713,234.223769740555,37.155290838231,110.125287517734
"ENST00000450156.5",NA,1.80394813969721e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENST00000450168.2",NA,172.010985694898,282.582506827616,80.7227726132599,289.478570731791,113.088357807818,109.022626909428,153.359024098995,182.241891407683,98.1198688975325,116.10684701581,220.310638244247,244.280274048053,185.084488159914,189.480502606029,29.4902742973823,107.455957178678
"ENST00000450200.1",NA,2.6095863221478,1.48150705894258,1.70275975036164,0,2.12505234318971,0,6.78524427566396,0,4.1305131888373,0,4.87270723644099,2.62496098739387,3.14793806913278,0,1.19660336510117,1.19757344844943
"ENST00000450217.2",NA,1.07748571802577,1.0547758872117,1.12770899442209,1.2222494727857,1.36365355781535,0,1.10907125216642,1.37852865034362,0,2.69726825745725,2.3211867172469,2.38100064070506,0,2.15446034663071,0.890043528874063,1.00512597756593
"ENST00000450218.5",NA,0,0,0,0,0,0,0,0,4.14041945185565,0,0,0,0,0,0,0
"ENST00000450251.5",NA,746.706536821149,861.472973438683,691.543671294799,1258.61216857981,1157.86773835676,598.599162338937,620.184382894385,831.058418174518,774.575098695897,920.343470761101,773.124890843483,995.033356886954,829.855076610178,838.621557510303,1198.87007807704,696.193834676404
"ENST00000450253.6",NA,1377.98010003036,1309.59943298938,2017.21080628486,914.803045493592,1282.56615533409,1506.96639239837,1414.56916929047,1366.89978595401,1204.79627582158,872.663035305987,1365.27765473859,989.312079674956,1058.43230800457,1079.17580320608,1166.42557394019,982.310180986525
"ENST00000450269.5",NA,15.5692315267582,16.8176661810883,21.5132469669019,20.5904782329602,5.61200562234717,4.96434287781726,7.59222963631177,13.1929872895946,11.8705636611839,13.9268578329814,14.2538181591371,11.1244450631933,8.94692559030818,16.5279611236286,33.4310334908747,19.7359066653648
"ENST00000450273.1",NA,0,6.91836428175195,8.36504081283359,3.57552873580582,11.5320942411276,21.3090318325507,12.4689786366587,0,10.7238922813871,10.4972866660038,15.0999813841326,4.54556284402287,6.73552558373299,3.83942851146328,7.17025287223474,6.83172365839682
"ENST00000450277.2",NA,0,0,3.44383035743327,2.51261901359815,1.60019673908726,0,0,1.18591083627443,0,1.87140431883135,0,6.90611274154908,1.33555886103743,7.64002548429984,0,0.958215172266939
"ENST00000450313.5",NA,27.5791481512044,17.4433923600377,40.8209154947238,18.9833364099074,19.4953407151703,0,14.958032618279,40.8955258612689,58.8008027470732,0,1.91163929772431,52.156794434229,99.7311814409773,0,27.7825704607669,0
"ENST00000450326.5",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENST00000450363.3",NA,469.023784572791,165.950039336046,202.364974682388,243.249570795623,187.401258240412,257.893746585312,254.069705005728,260.060946862238,113.049514955333,262.850125659423,311.054193111068,196.127128104517,240.027616578804,261.33840661961,222.430706515726,317.939914397834
"ENST00000450366.6",NA,10298.1508406126,5059.58214393367,6512.46924592836,5690.34304072982,7195.69399495425,4986.88740597971,3654.63716264339,7168.10560517196,3233.00940225161,4774.05341924487,5463.94927841039,5625.39085225705,4139.70348393156,5853.95022427901,3716.7777938009,4631.92295538213
"ENST00000450420.5",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENST00000450444.5",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENST00000450454.6",NA,59.7245676336473,43.1408513815375,49.0542308808972,50.8979564438954,46.5087338615406,56.4684021886151,36.7143750474291,64.3873647203524,31.4681192652815,35.9443327877347,35.4045142642663,46.5484826567652,44.6492541741181,56.5098718536071,51.2463521636802,37.6843174923609
"ENST00000450456.2",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENST00000450491.5",NA,0,0,0,0,0,0,0,0,0.0573709132475208,0,0,0,0,0,0,0
"ENST00000450525.6",NA,837.089178819917,818.126151471567,1127.90202169636,1093.25307089683,883.544496134739,938.65021194252,1133.6618564356,812.353285059156,995.400295397026,816.402310961574,1013.60599753232,931.48918948762,1105.09417510256,868.391954006702,1427.26585483882,1032.81110325263
"ENST00000450533.5",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENST00000450536.6",NA,77.8342666949137,61.1294285755467,31.3409723728629,60.453516193509,141.177651004764,50.021085237742,33.5246276456783,69.7126114114098,1.6986532652726,42.2827588186257,0,121.086560843659,52.7508408249551,36.3064917206926,53.6816425601979,45.5963636044662
"ENST00000450599.6",NA,1973.235458471,1209.90624189785,627.597890034878,1060.76875582463,1485.72658701611,893.679619237677,631.588480886936,1528.58545087117,404.023140346039,456.644549689722,643.214381563275,1139.60006970214,182.621630741975,689.272042000442,382.331651660914,406.70985070231
"ENST00000450617.5",NA,107.988834274124,130.946117964174,182.433675176271,101.514561630659,164.181112875684,171.104007990231,140.146142868828,181.531332781567,147.158727773349,155.279760558058,257.806534680441,92.7120243770645,256.236502309255,155.176926209936,163.318962041691,162.866679696804
"ENST00000450644.1",NA,39.5068417635526,27.9664451773102,4.02375392076515,58.0281102881474,51.7337286853003,21.5006023218092,35.6556406524706,31.4693317379178,49.9403269564716,26.581930226915,37.9160917677786,3.09046667233158,9.37896654152316,24.8042960616163,21.4776138362149,19.011020483604
"ENST00000450660.2",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENST00000450673.3",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENST00000450685.5",NA,1.94553407349996,0,2.06694511002037,0,0,0,0,0,0,0,3.53839357276368,0,0,2.05666788136044,0,0
